slug,name,sku,size,color,priceNgn,stock
charme-set,Charme Set,charme-set-M-lavender,M,lavender,25990,10
charme-set,Charme Set,charme-set-M-black,M,black,25990,10
charme-set,Charme Set,charme-set-M-mint green,M,mint green,25990,10
charme-set,Charme Set,charme-set-M-brown,M,brown,25990,10
charme-set,Charme Set,charme-set-L-lavender,L,lavender,25990,10
charme-set,Charme Set,charme-set-L-black,L,black,25990,10
charme-set,Charme Set,charme-set-L-mint green,L,mint green,25990,10
charme-set,Charme Set,charme-set-L-brown,L,brown,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-M-White,M,White,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-M-light brown,M,light brown,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-M-mint green,M,mint green,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-M-grey,M,grey,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-L-White,L,White,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-L-light brown,L,light brown,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-L-mint green,L,mint green,25990,10
aero-sculpt-jumpsuit,Aero Sculpt Jumpsuit,aero-sculpt-jumpsuit-L-grey,L,grey,25990,10
flexsuit,Flexsuit,flexsuit-M-blue,M,blue,29990,10
flexsuit,Flexsuit,flexsuit-L-blue,L,blue,29990,10
corefit,Corefit,corefit-M-Burnt orange,M,Burnt orange,25990,10
corefit,Corefit,corefit-M-nude,M,nude,25990,10
corefit,Corefit,corefit-M-mint green,M,mint green,25990,10
corefit,Corefit,corefit-M-black,M,black,25990,10
corefit,Corefit,corefit-M-wine,M,wine,25990,10
corefit,Corefit,corefit-L-Burnt orange,L,Burnt orange,25990,10
corefit,Corefit,corefit-L-nude,L,nude,25990,10
corefit,Corefit,corefit-L-mint green,L,mint green,25990,10
corefit,Corefit,corefit-L-black,L,black,25990,10
corefit,Corefit,corefit-L-wine,L,wine,25990,10
peak-fit,Peak Fit,peak-fit-M-Brown,M,Brown,25990,8
peak-fit,Peak Fit,peak-fit-M-dark blue,M,dark blue,25990,8
peak-fit,Peak Fit,peak-fit-M-mint green,M,mint green,25990,8
peak-fit,Peak Fit,peak-fit-M-nude,M,nude,25990,8
peak-fit,Peak Fit,peak-fit-M-grey,M,grey,25990,8
peak-fit,Peak Fit,peak-fit-M-black,M,black,25990,8
peak-fit,Peak Fit,peak-fit-L-Brown,L,Brown,25990,8
peak-fit,Peak Fit,peak-fit-L-dark blue,L,dark blue,25990,8
peak-fit,Peak Fit,peak-fit-L-mint green,L,mint green,25990,8
peak-fit,Peak Fit,peak-fit-L-nude,L,nude,25990,8
peak-fit,Peak Fit,peak-fit-L-grey,L,grey,25990,8
peak-fit,Peak Fit,peak-fit-L-black,L,black,25990,8
bum-covers,Bum Covers,bum-covers-M-Black,M,Black,15990,5
bum-covers,Bum Covers,bum-covers-M-royal blue,M,royal blue,15990,5
bum-covers,Bum Covers,bum-covers-M-deep pink,M,deep pink,15990,5
bum-covers,Bum Covers,bum-covers-M-muted olive green,M,muted olive green,15990,5
bum-covers,Bum Covers,bum-covers-M-baby pink,M,baby pink,15990,5
bum-covers,Bum Covers,bum-covers-M-deep grey,M,deep grey,15990,5
bum-covers,Bum Covers,bum-covers-M-brown,M,brown,15990,5
bum-covers,Bum Covers,bum-covers-M-khaki,M,khaki,15990,5
bum-covers,Bum Covers,bum-covers-L-Black,L,Black,15990,5
bum-covers,Bum Covers,bum-covers-L-royal blue,L,royal blue,15990,5
bum-covers,Bum Covers,bum-covers-L-deep pink,L,deep pink,15990,5
bum-covers,Bum Covers,bum-covers-L-muted olive green,L,muted olive green,15990,5
bum-covers,Bum Covers,bum-covers-L-baby pink,L,baby pink,15990,5
bum-covers,Bum Covers,bum-covers-L-deep grey,L,deep grey,15990,5
bum-covers,Bum Covers,bum-covers-L-brown,L,brown,15990,5
bum-covers,Bum Covers,bum-covers-L-khaki,L,khaki,15990,5
singlets,Singlets,singlets-M-black,M,black,10990,5
singlets,Singlets,singlets-M-blue,M,blue,10990,5
singlets,Singlets,singlets-M-deep blue,M,deep blue,10990,5
singlets,Singlets,singlets-M-peach,M,peach,10990,5
singlets,Singlets,singlets-M-red,M,red,10990,5
elevate-jacket-short-hand,Elevate Jacket Short Hand,elevate-jacket-short-hand-M-Baby pink,M,Baby pink,20990,10
elevate-jacket-short-hand,Elevate Jacket Short Hand,elevate-jacket-short-hand-M-light blue,M,light blue,20990,10
elevate-jacket-short-hand,Elevate Jacket Short Hand,elevate-jacket-short-hand-M-grey,M,grey,20990,10
